,symbol,company_name,sector,sub_industry,market_cap
44,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2796956155904
318,MSFT,Microsoft,Information Technology,Systems Software,2386941706240
23,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1656406802432
22,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1653237481472
25,AMZN,Amazon,Consumer Discretionary,Broadline Retail,1424164126720
349,NVDA,Nvidia,Information Technology,Semiconductors,1023506317312
312,META,Meta Platforms,Communication Services,Interactive Media & Services,768367984640
445,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,748223856640
476,V,Visa Inc.,Financials,Transaction & Payment Processing Services,505446793216
171,LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,505180585984
465,UNH,UnitedHealth Group,Health Care,Managed Health Care,474547027968
268,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,455271514112
191,XOM,ExxonMobil,Energy,Integrated Oil & Gas,449215528960
270,JPM,JPMorgan Chase,Financials,Diversified Banks,445272653824
480,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,435351420928
305,MA,Mastercard,Financials,Transaction & Payment Processing Services,376492982272
382,PG,Procter & Gamble,Consumer Staples,Personal Care Products,369530470400
78,AVGO,Broadcom Inc.,Information Technology,Semiconductors,345361612800
237,HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,330930880512
358,ORCL,Oracle Corporation,Information Technology,Application Software,310239920128
106,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,304550805504
311,MRK,Merck & Co.,Health Care,Pharmaceuticals,274652495872
3,ABBV,AbbVie,Health Care,Pharmaceuticals,269018939392
119,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,265204858880
370,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,253510975488
134,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,250533707776
60,BAC,Bank of America,Financials,Diversified Banks,244875001856
7,ADBE,Adobe Inc.,Information Technology,Application Software,233043705856
113,CSCO,Cisco,Information Technology,Communications Equipment,219462352896
308,MCD,McDonald's,Consumer Discretionary,Restaurants,210434998272
448,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,207976906752
411,CRM,Salesforce,Information Technology,Application Software,203458854912
371,PFE,Pfizer,Health Care,Pharmaceuticals,203187126272
4,ACN,Accenture,Information Technology,IT Consulting & Other Services,194936897536
122,CMCSA,Comcast,Communication Services,Cable & Satellite,194769829888
141,DHR,Danaher Corporation,Health Care,Health Care Equipment,188730163200
334,NFLX,Netflix,Communication Services,Movies & Entertainment,188440920064
290,LIN,Linde plc,Materials,Industrial Gases,185899991040
2,ABT,Abbott,Health Care,Health Care Equipment,183653810176
27,AMD,AMD,Information Technology,Semiconductors,174096023552
435,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,166430752768
340,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",164880596992
152,DIS,Disney,Communication Services,Movies & Entertainment,161441955840
485,WFC,Wells Fargo,Financials,Diversified Banks,159103533056
446,TXN,Texas Instruments,Information Technology,Semiconductors,151908401152
463,UPS,United Parcel Service,Industrials,Air Freight & Logistics,150224060416
373,PM,Philip Morris International,Consumer Staples,Tobacco,149104328704
94,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,145872912384
254,INTC,Intel,Information Technology,Semiconductors,144590438400
328,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,143702589440
72,BA,Boeing,Industrials,Aerospace & Defense,142288044032
125,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,141310803968
38,AMGN,Amgen,Health Care,Biotechnology,140210077696
259,INTU,Intuit,Information Technology,Application Software,139727536128
471,VZ,Verizon,Communication Services,Integrated Telecommunication Services,139698913280
461,UNP,Union Pacific Corporation,Industrials,Rail Transportation,139626250240
339,NEE,NextEra Energy,Utilities,Multi-Utilities,138685218816
295,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,131447259136
246,IBM,IBM,Information Technology,IT Consulting & Other Services,129993728000
77,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,129212784640
144,DE,John Deere,Industrials,Agricultural & Farm Machinery,127512133632
238,HON,Honeywell,Industrials,Industrial Conglomerates,126971232256
396,RTX,RTX Corporation,Industrials,Aerospace & Defense,126843322368
392,QCOM,Qualcomm,Information Technology,Semiconductors,125943267328
218,GE,General Electric,Industrials,Industrial Conglomerates,124673933312
410,SPGI,S&P Global,Financials,Financial Exchanges & Data,124460777472
31,AXP,American Express,Financials,Consumer Finance,120742453248
73,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Restaurants & Leisure",117709922304
45,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,116901183488
427,SBUX,Starbucks,Consumer Discretionary,Restaurants,115339304960
293,LMT,Lockheed Martin,Industrials,Aerospace & Defense,114666209280
384,PLD,Prologis,Real Estate,Industrial REITs,113928003584
417,NOW,ServiceNow,Information Technology,Systems Software,113684881408
104,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,113679695872
225,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,111426600960
170,ELV,Elevance Health,Health Care,Managed Health Care,111165767680
310,MDT,Medtronic,Health Care,Health Care Equipment,110976147456
431,SYK,Stryker Corporation,Health Care,Health Care Equipment,107504992256
260,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,107013955584
8,ADP,ADP,Industrials,Human Resource & Employment Services,104426135552
70,BLK,BlackRock,Financials,Asset Management & Custody Banks,102908215296
51,T,AT&T,Communication Services,Integrated Telecommunication Services,101480054784
324,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,100572618752
449,TJX,TJX Companies,Consumer Discretionary,Apparel Retail,100041351168
222,GILD,Gilead Sciences,Health Care,Biotechnology,100024999936
139,CVS,CVS Health,Health Care,Health Care Services,95139438592
302,MMC,Marsh McLennan,Financials,Insurance Brokers,94592188416
40,ADI,Analog Devices,Information Technology,Semiconductors,91980120064
472,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,90225614848
502,ZTS,Zoetis,Health Care,Pharmaceuticals,88563761152
284,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,88302354432
399,REGN,Regeneron,Health Care,Biotechnology,88249630720
164,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,87185776640
33,AMT,American Tower,Real Estate,Telecom Tower REITs,86273875968
110,CI,Cigna,Health Care,Managed Health Care,85851701248
114,C,Citigroup,Financials,Diversified Banks,84952260608
413,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,84290920448
108,CB,Chubb Limited,Financials,Property & Casualty Insurance,83499548672
63,BDX,Becton Dickinson,Health Care,Health Care Equipment,79845138432
24,MO,Altria,Consumer Staples,Tobacco,77890215936
202,FI,Fiserv,Financials,Transaction & Payment Processing Services,77651427328
175,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,76657475584
424,SO,Southern Company,Utilities,Electric Utilities,75215798272
117,CME,CME Group,Financials,Financial Exchanges & Data,74212524032
383,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,74145800192
76,BSX,Boston Scientific,Health Care,Health Care Equipment,73768386560
229,HCA,HCA Healthcare,Health Care,Health Care Facilities,73638576128
317,MU,Micron Technology,Information Technology,Semiconductors,72782675968
179,EQIX,Equinix,Real Estate,Data Center REITs,72364122112
249,ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,71986749440
160,DUK,Duke Energy,Utilities,Electric Utilities,71709171712
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,71536541696
418,SHW,Sherwin-Williams,Materials,Specialty Chemicals,70722461696
368,PYPL,PayPal,Financials,Transaction & Payment Processing Services,70245097472
363,PANW,Palo Alto Networks,Information Technology,Application Software,66921074688
197,FDX,FedEx,Industrials,Air Freight & Logistics,66775552000
482,WM,Waste Management,Industrials,Environmental & Facilities Services,65601277952
42,AON,Aon,Financials,Insurance Brokers,65585430528
279,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,65489199104
433,SNPS,Synopsys,Information Technology,Application Software,65474445312
345,NOC,Northrop Grumman,Industrials,Aerospace & Defense,65440038912
255,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,64068378624
105,CHTR,Charter Communications,Communication Services,Cable & Satellite,64068157440
13,APD,Air Products and Chemicals,Materials,Industrial Gases,64018071552
299,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,63695900672
121,CL,Colgate-Palmolive,Consumer Staples,Household Products,63515877376
301,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",62712369152
217,GD,General Dynamics,Industrials,Aerospace & Defense,62009430016
243,HUM,Humana,Health Care,Managed Health Care,62003957760
327,MCO,Moody's Corporation,Financials,Financial Exchanges & Data,61724811264
137,CSX,CSX,Industrials,Rail Transportation,61473947648
84,CDNS,Cadence Design Systems,Information Technology,Application Software,61276418048
326,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,61054599168
440,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,60196655104
182,EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,60009639936
309,MCK,McKesson,Health Care,Health Care Distributors,59468521472
458,USB,U.S. Bank,Financials,Diversified Banks,59354664960
352,ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,57738764288
353,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,57575518208
211,FCX,Freeport-McMoRan,Materials,Copper,57510760448
0,MMM,3M,Industrials,Industrial Conglomerates,57103568896
376,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,55206105088
172,EMR,Emerson Electric,Industrials,Electrical Components & Equipment,54578253824
48,ANET,Arista Networks,Information Technology,Communications Equipment,54183821312
365,PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,53264367616
374,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,52971032576
351,NXPI,NXP Semiconductors,Information Technology,Semiconductors,52558094336
407,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,52346265600
166,ECL,Ecolab,Materials,Specialty Chemicals,52340260864
39,APH,Amphenol,Information Technology,Electronic Components,51907346432
107,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,51211776000
377,PNC,PNC Financial Services,Financials,Regional Banks,50748981248
388,PSA,Public Storage,Real Estate,Self-Storage REITs,50430328832
112,CTAS,Cintas,Industrials,Diversified Support Services,49796796416
467,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,49357914112
127,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,49099665408
168,EW,Edwards Lifesciences,Health Care,Health Care Equipment,48897204224
343,NSC,Norfolk Southern Railway,Industrials,Rail Transportation,48712683520
313,MET,MetLife,Financials,Life & Health Insurance,48598999040
205,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,48328900608
330,MSI,Motorola Solutions,Information Technology,Communications Equipment,48107102208
49,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,48082157568
233,HES,Hess Corporation,Energy,Integrated Oil & Gas,48007581696
